Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1428A-1H-1,145-150",1.45,3.55,44.03,11.36,0.47,3.71,0.09,13.82,1.81,2.2,2.19,0.12,44.76,1.62,9.93,69.27,39.05,10.5,38.98,23.52,211.18,81.35,524.9,20.37,106.15,7.86,2.49,0.14,1.9,1.37,6.14,387.96,2.12,0.59,17.01,7.57,4.29,20.12,40.89,4.71,17.87,3.71,0.81,0.53,3.41,3.14,0.64,1.82,0.28,1.84,0.28
"346-U1428A-1H-5,9-11",5.7,12.21,48.29,12.55,0.53,4.61,0.09,8.23,2.43,3.17,2.39,0.11,58.98,1.85,12.26,82.92,67.43,11.72,41.28,31.15,104.65,96.86,351.05,19.16,107.88,9.44,2.33,0.11,2.18,1.17,7.81,376.95,2.12,0.7,17.86,8.9,3.39,22.83,47.75,5.22,19.39,3.83,0.82,0.52,3.36,2.96,0.59,1.63,0.25,1.65,0.25
"346-U1428A-2H-1,145-150",8.24,16.06,49.86,13.78,0.58,5.4,0.11,6.61,2.84,2.06,2.74,0.11,68.78,2.38,12.15,86.05,75.43,14.3,45.47,24.1,165.89,119.62,298.32,20.19,113.95,11.37,1.23,0.11,2.52,1.38,9.68,402,2.3,0.81,21.15,11.02,3.06,29.26,58.37,6.23,23.42,4.52,0.94,0.6,3.9,3.41,0.67,1.89,0.29,1.86,0.28
"346-U1428A-2H-5,6-8",12.89,23.19,48.84,12.81,0.53,4.65,0.1,8.55,2.67,3.17,2.59,0.12,59.27,1.86,12.6,88.88,71.51,11.97,40.44,31.06,275.95,101.85,350.68,20.45,112.5,10.81,3.31,0.25,2.18,1.36,7.94,368.73,2.12,0.64,19.02,9.25,3.37,23.61,47.87,5.07,19.77,3.95,0.84,0.54,3.47,3.08,0.62,1.69,0.27,1.68,0.26
"346-U1428A-3H-1,145-150",18.27,31.3,48.84,14.05,0.58,5.08,0.09,8.86,2.54,2.21,2.66,0.12,69.79,2.05,13.31,80.31,29.86,13.03,41.32,26.99,103.02,110.19,354.63,20.69,121.85,10.86,2.09,0.12,2.27,1.51,8.5,401.35,2.45,0.8,20.24,10.08,4.8,25.16,52.92,5.8,21.65,4.29,0.93,0.58,3.74,3.36,0.67,1.87,0.29,1.86,0.28
"346-U1428A-3H-2,6-8",18.38,31.47,46.44,13.37,0.56,4.75,0.09,8.5,2.53,2.95,2.49,0.12,70.51,1.98,13.15,95.48,85.83,13.3,44.07,32.63,127.55,108.83,367.51,21.12,118.81,10.95,2.03,0.11,2.45,1.39,9.3,392.78,2.43,0.81,20.14,10.29,4.8,26.17,54.43,5.98,22.25,4.41,0.95,0.6,3.84,3.44,0.69,1.92,0.3,1.92,0.28
"346-U1428A-4H-2,8-10",28.73,45.32,46.54,13.49,0.56,4.76,0.09,8.35,2.41,2.81,2.42,0.11,68.14,1.94,11.83,77.48,75.52,11.99,45.47,25.01,261.14,103.37,342.02,18.48,121.21,11.38,3.75,0.33,2.23,1.26,8.17,385.36,2.32,0.69,18.52,9.49,4.15,23.63,49.08,5.15,20.05,3.97,0.87,0.53,3.43,3.03,0.61,1.67,0.26,1.68,0.27
"346-U1428A-5H-1,145-150",38.32,63.82,43.17,11.59,0.48,3.62,0.08,16.31,1.71,2.29,2.21,0.12,50.52,1.56,9.67,64.45,23.33,10.61,35.2,23.92,83.71,80.27,602.59,21,114.74,8.66,1.41,0.12,1.65,1.03,5.7,411.1,2.36,0.61,18.01,8.03,3.15,20.6,41.86,4.84,18.48,3.77,0.84,0.53,3.44,3.19,0.64,1.83,0.28,1.84,0.28
"346-U1428A-5H-2,7-9",38.44,64.1,43.6,11.64,0.48,3.52,0.08,14.65,1.76,2.97,2.19,0.12,49.68,1.59,11.28,76.09,58.99,10.16,34.25,32.16,103.14,80.57,545.7,22.02,124.83,8.63,1.44,0.12,1.81,1.13,6.44,413.05,2.47,0.64,17.93,7.96,3.1,20.89,42.12,4.87,18.59,3.81,0.83,0.54,3.42,3.17,0.65,1.82,0.28,1.85,0.28
"346-U1428A-6H-2,7-9",47.91,84.46,33.78,10.07,0.43,3.45,0.07,22,1.93,2.56,1.91,0.13,45.49,1.6,9.94,77.49,34.89,11.07,39.48,29.97,193.21,81.22,737.46,22.19,90.74,8.45,5.19,0.13,1.73,1.13,6.79,511.83,1.48,0.47,16.59,7.01,5.32,20.43,40.53,4.49,17.55,3.49,0.77,0.48,3.1,2.74,0.57,1.56,0.23,1.52,0.24
"346-U1428A-7H-1,145-150",58.24,105.78,50.29,12.84,0.56,4.94,0.12,9.69,2.6,1.96,2.58,0.12,62.16,2.09,11.61,84.55,59.91,12.97,39.58,23.88,86.85,108.94,379.8,20.39,116.18,10.66,1.21,0.14,2.28,1.13,7.97,380.88,2.12,0.76,20.62,10.01,3.04,25.6,52.84,5.89,21.85,4.36,0.93,0.58,3.8,3.35,0.66,1.83,0.28,1.78,0.27
"346-U1428A-7H-2,11-13",58.4,106.16,47.13,12.16,0.53,4.67,0.11,9.42,2.45,2.59,2.39,0.11,60.08,2.06,11.58,82.96,57.74,12.75,35.37,30.47,102.03,104.07,379.02,20.22,112.85,10.22,1.19,0.15,2.29,1.23,8.36,370.8,2.2,0.76,20.26,9.48,3.24,24.65,50.96,5.63,21.06,4.18,0.88,0.56,3.64,3.24,0.64,1.78,0.28,1.78,0.26
"346-U1428A-8H-2,7-9",68.6,134.44,46.91,12.58,0.54,4.49,0.15,11.02,2.35,2.72,2.38,0.11,59.51,1.83,12.18,84.65,72.82,12.26,41.91,28.63,291.62,98.23,414.93,20.29,116.71,10.95,3.09,0.39,2.15,1.26,7.45,376.88,2.03,0.66,19.96,9.04,3.76,22.95,47.6,4.98,19.56,3.97,0.86,0.55,3.5,3.11,0.63,1.72,0.27,1.7,0.26
"346-U1428A-9H-1,145-150",78.55,151.98,42.77,10.84,0.47,3.61,0.07,17.92,1.92,1.91,2.03,0.11,44.32,1.49,9.18,63.82,40.14,11.44,33.75,22,75.37,73.76,565.35,20.36,110.95,8.05,2.26,0.09,1.65,0.95,5.27,336,1.92,0.6,15.66,7.05,3.09,19.46,37.79,4.52,17.28,3.54,0.79,0.52,3.32,3.11,0.63,1.78,0.28,1.75,0.26
"346-U1428A-9H-2,9-11",78.69,152.23,37.44,9.55,0.4,3.12,0.06,17.71,1.65,2.27,1.74,0.1,51.85,1.71,8.09,70.45,58.43,11.71,35.35,22.89,214.48,84.46,489.61,19.93,99.58,9.79,3.93,0.19,1.97,1.03,7.17,339.51,2.03,0.57,16.84,7.95,3.15,21.54,43.48,4.78,18.52,3.78,0.81,0.53,3.36,3.07,0.63,1.75,0.27,1.75,0.27
"346-U1428A-11H-3,8-10",99.81,192.04,46.27,12.67,0.56,4.82,0.13,10.66,2.65,2.45,2.44,0.13,62.87,1.93,12.22,88.88,76.82,12.45,42.74,27.7,237.56,107.25,396.01,20.57,121.12,11.85,3.02,0.3,2.29,1.25,8.38,389.63,2.1,0.71,19.71,9.72,3.33,24.84,50.34,5.36,20.83,4.18,0.89,0.56,3.61,3.18,0.64,1.75,0.27,1.72,0.27
"346-U1428A-12H-1,145-150",109.16,213.99,38.61,11.78,0.49,4.13,0.1,18.13,1.7,1.7,1.96,0.11,40.51,1.52,9.63,47.82,33.04,7.64,22.31,16.68,64.28,74.47,412.03,25.55,126.5,7.29,1.59,0.1,1.75,0.87,4.94,355.18,3.11,0.55,17.5,7.48,2.69,19.42,41.53,4.82,18.84,4.15,0.91,0.66,4.07,4.05,0.84,2.46,0.39,2.55,0.39
"346-U1428A-12H-2,8-10",109.29,214.28,39.14,11.95,0.49,4.29,0.1,16.71,1.81,2.37,2,0.1,68.1,1.83,9.85,75.14,52.05,13.38,45.17,25.71,268.52,96.61,609.86,18.8,98.51,11.29,3.69,0.26,2.19,1.29,7.3,370.57,2.23,0.68,18.51,9.21,3.11,22.98,48.45,5.05,19.71,4.02,0.88,0.55,3.52,3.18,0.64,1.8,0.28,1.79,0.25
"346-U1428A-13H-2,8-10",120.55,238.49,48.09,13.15,0.58,4.8,0.11,10.48,2.33,2.56,2.5,0.12,61.86,1.97,13.23,88.36,75.69,12.05,36.92,27.2,239.21,104.32,404.67,20.51,125.7,12.09,2.36,0.17,2.25,0.86,7.66,372.35,2.13,0.73,19.74,9.6,2.46,25.3,52.59,5.51,21.36,4.25,0.91,0.57,3.68,3.15,0.62,1.69,0.27,1.7,0.27
"346-U1428A-14H-2,8-10",131.35,250.59,42.45,13.36,0.54,4.7,0.15,14.35,2.2,2.29,2.43,0.11,61.14,1.78,12.39,82.93,73.17,12.39,38.18,29.77,229.39,102.91,531.34,20.03,113.66,11.13,2.11,0.29,2.25,1.27,8.05,364.68,2.01,0.65,18,9.2,2.76,22.99,46.92,4.99,19.45,3.94,0.84,0.53,3.4,3.04,0.61,1.69,0.26,1.66,0.25
"346-U1428A-15H-1,145-150",141.02,271.7,37.24,11.1,0.49,3.75,0.1,21.03,2.39,1.47,2.01,0.14,64.92,2.23,9.41,93.57,49.39,13.56,45.84,26.81,221.93,113.01,406.7,21.27,115.21,12.84,2.73,0.11,2.43,1.12,8.66,400.8,2.21,0.74,21.89,10.32,3.14,27.64,54.67,5.83,22.5,4.45,0.93,0.6,3.82,3.38,0.67,1.85,0.28,1.82,0.29
"346-U1428A-15H-2,9-11",141.16,272.1,40.36,11.7,0.52,4.15,0.09,18.06,2.35,2.1,2.14,0.13,45.83,1.68,9.09,66.55,55.44,11.85,34.34,13.95,176.31,85.93,621.03,17.92,109.32,10.22,0.8,0.26,1.97,0.97,6.39,319.44,1.82,0.62,17.29,8.08,3.21,21.01,42.7,4.59,18,3.63,0.79,0.5,3.18,2.85,0.57,1.56,0.25,1.55,0.24
"346-U1428A-23H-1,145-150",171.34,375.39,54.63,16.12,0.76,6.46,0.11,4.73,2.88,1.69,3.28,0.16,65.64,2.87,15.59,129.18,106.91,16.37,46.79,34.71,113.45,152.37,191.19,28.11,165.12,15.76,0.62,0.08,3.38,1.39,11.9,482.68,2.87,1.14,25.89,14.11,2.76,35.84,73.07,8.25,30.33,6.04,1.26,0.8,5.14,4.49,0.87,2.41,0.38,2.41,0.35
